filename,width,height,class,xmin,ymin,xmax,ymax
qiwi004S(7).JPG,816,612,qiwi,176,291,379,450
mango006T(8).JPG,816,612,mango,443,244,570,437
egg004T(2).JPG,816,612,egg,442,261,549,397
orange008T(5).JPG,816,612,orange,428,236,656,487
banana004S(1).JPG,816,612,banana,490,325,751,481
pear003S(7).JPG,816,612,pear,440,179,651,394
peach001T(11).JPG,816,612,peach,431,255,593,407
fired_dough_twist004S(4).JPG,816,612,fired_dough_twist,441,277,695,379
banana014S(1).JPG,816,612,banana,316,336,759,445
mooncake002T(9).JPG,816,612,mooncake,419,217,551,349
doughnut009S(1).JPG,816,612,doughnut,453,244,719,339
plum004T(3).JPG,816,612,plum,445,302,616,453
plum004S(13).JPG,816,612,plum,457,250,605,378
qiwi003S(3).JPG,816,612,qiwi,438,216,593,351
egg003T(6).JPG,816,612,egg,456,344,621,469
egg005S(1).JPG,816,612,egg,454,191,584,312
qiwi005T(4).JPG,816,612,qiwi,349,334,560,517
mooncake001S(10).JPG,816,612,mooncake,476,320,597,379
plum002S(4).JPG,816,612,plum,457,256,612,389
peach001T(9).JPG,816,612,peach,464,250,621,408
sachima005T(21).JPG,816,612,sachima,443,261,644,478
banana012T(6).JPG,816,612,banana,370,123,560,518
fired_dough_twist002T(3).JPG,816,612,fired_dough_twist,391,206,531,436
lemon002T(21).JPG,816,612,lemon,437,208,590,385
egg005T(3).JPG,816,612,egg,458,245,601,360
fired_dough_twist004T(10).JPG,816,612,fired_dough_twist,494,140,615,435
qiwi005S(6).JPG,816,612,qiwi,450,308,666,444
mango007T(9).JPG,816,612,mango,453,240,585,427
plum002T(6).JPG,816,612,plum,463,253,641,427
tomato003T(29).JPG,816,612,tomato,469,257,716,492
plum001T(19).JPG,816,612,plum,453,252,682,477
banana012S(4).JPG,816,612,banana,354,289,691,363
plum002T(10).JPG,816,612,plum,469,213,644,390
fired_dough_twist002S(1).JPG,816,612,fired_dough_twist,464,248,744,378
plum003T(10).JPG,816,612,plum,447,256,623,417
pear005S(2).JPG,504,378,pear,327,105,476,271
orange008S(7).JPG,816,612,orange,430,219,607,381
pear003T(5).JPG,816,612,pear,375,211,586,429
banana004T(3).JPG,816,612,banana,182,95,754,343
fired_dough_twist004T(6).JPG,816,612,fired_dough_twist,484,147,614,423
banana014T(3).JPG,612,612,banana,298,155,482,491
doughnut009T(3).JPG,816,612,doughnut,448,180,672,390
qiwi008S(8).JPG,504,378,qiwi,114,157,215,254
apple016S(12).JPG,816,612,apple,394,131,613,341
apple017S(9).JPG,816,612,apple,441,221,674,428
plum004S(1).JPG,816,612,plum,508,215,670,347
qiwi003T(1).JPG,816,612,qiwi,172,240,341,392
egg003S(4).JPG,816,612,egg,461,260,568,361
apple017S(12).JPG,816,612,apple,430,201,672,409
pear004T(1).JPG,816,612,pear,349,299,532,498
mango010S(11).JPG,816,612,mango,434,253,646,358
banana013T(7).JPG,816,612,banana,367,148,552,539
fired_dough_twist003T(2).JPG,816,612,fired_dough_twist,475,187,614,499
plum003S(5).JPG,816,612,plum,470,239,619,371
apple016T(16).JPG,816,612,apple,398,217,601,416
qiwi004T(5).JPG,816,612,qiwi,184,265,429,436
apple017T(16).JPG,816,612,apple,408,179,660,419
egg002T(7).JPG,816,612,egg,478,294,635,427
qiwi002S(2).JPG,816,612,qiwi,357,237,578,397
grape001S(1).JPG,816,612,grape,312,124,738,397
mooncake003T(8).JPG,816,612,mooncake,448,260,597,413
fired_dough_twist005S(5).JPG,816,612,fired_dough_twist,480,301,757,421
plum002S(14).JPG,816,612,plum,466,284,627,418
pear002S(6).JPG,816,612,pear,463,257,679,458
orange009T(4).JPG,816,612,orange,443,199,648,419
bun008T(1).JPG,816,612,bun,395,283,631,441
plum003S(14).JPG,816,612,plum,439,244,583,392
doughnut005T(12).JPG,816,612,doughnut,366,190,620,429
mix009T(2).JPG,816,612,lemon,361,108,521,253
mix009T(2).JPG,816,612,orange,309,366,537,571
peach005S(9).JPG,816,612,peach,484,211,658,369
doughnut004T(12).JPG,816,612,doughnut,394,204,666,460
qiwi001S(4).JPG,816,612,qiwi,395,240,644,383
egg001T(1).JPG,816,612,egg,431,320,571,437
tomato004S(10).JPG,816,612,tomato,444,150,637,287
pear003S(14).JPG,816,612,pear,464,216,671,428
lemon003T(8).JPG,816,612,lemon,464,299,647,460
fired_dough_twist006S(3).JPG,504,378,fired_dough_twist,304,176,381,227
grape002S(7).JPG,816,612,grape,395,218,676,387
mango008S(2).JPG,816,612,mango,427,254,624,352
pear002S(14).JPG,816,612,pear,424,216,599,375
banana013T(10).JPG,816,612,banana,380,128,543,503
banana010T(1).JPG,816,612,banana,346,137,542,554
apple008T(2).JPG,816,612,apple,71,189,331,432
apple018T(2).JPG,816,612,apple,387,203,624,436
egg007S(6).JPG,816,612,egg,578,231,755,350
lemon001T(12).JPG,816,612,lemon,465,247,646,450
qiwi007T(3).JPG,816,612,qiwi,109,102,172,161
doughnut006S(8).JPG,816,612,doughnut,411,290,653,376
mango009T(1).JPG,816,612,mango,423,289,650,436
sachima002T(9).JPG,816,612,sachima,387,269,572,426
lemon001S(16).JPG,816,612,lemon,462,230,614,353
litchi004T(8).JPG,816,612,litchi,493,274,637,429
orange010T(8).JPG,816,612,orange,411,252,653,506
mango002S(8).JPG,816,612,mango,455,266,634,402
mix008S(1).JPG,816,612,tomato,282,250,443,382
mix008S(1).JPG,816,612,banana,469,283,673,383
egg006T(5).JPG,816,612,egg,512,291,670,403
tomato004T(14).JPG,816,612,tomato,453,201,662,414
banana001S(2).JPG,816,612,banana,106,286,511,371
pear006S(4).JPG,504,378,pear,303,91,442,243
apple019S(1).JPG,504,378,apple,275,59,487,257
pear003T(10).JPG,816,612,pear,392,217,608,429
banana011S(2).JPG,816,612,banana,332,308,736,400
apple009S(1).JPG,816,612,apple,411,121,695,402
fired_dough_twist001S(7).JPG,816,612,fired_dough_twist,401,227,686,341
pear002T(10).JPG,816,612,pear,338,160,550,360
plum003S(22).JPG,816,612,plum,453,282,606,426
sachima002S(7).JPG,816,612,sachima,465,272,690,385
lemon002T(5).JPG,816,612,lemon,423,235,595,424
mooncake001T(3).JPG,816,612,mooncake,448,220,587,356
bread007S(7).JPG,816,612,bread,313,333,714,420
orange011S(17).JPG,816,612,orange,460,112,656,304
apple014T(1).JPG,816,612,apple,365,270,613,492
bun001S(3).JPG,816,612,bun,368,199,599,357
peach004S(4).JPG,816,612,peach,468,243,612,370
doughnut001T(2).JPG,816,612,doughnut,208,163,509,478
mango006T(14).JPG,816,612,mango,462,251,605,483
mango002T(6).JPG,816,612,mango,287,255,527,437
litchi004S(6).JPG,816,612,litchi,487,327,608,435
orange010S(6).JPG,816,612,orange,451,92,660,287
apple004T(1).JPG,816,612,apple,261,45,577,362
litchi002T(1).JPG,816,612,litchi,447,260,564,381
apple002S(6).JPG,816,612,apple,142,192,474,511
apple017T(20).JPG,816,612,apple,402,235,627,459
mango004S(1).JPG,816,612,mango,452,335,598,416
lemon004T(10).JPG,816,612,lemon,434,230,623,398
doughnut007S(5).JPG,816,612,doughnut,422,297,648,389
bun007T(4).JPG,816,612,bun,417,229,644,484
apple016T(20).JPG,816,612,apple,381,255,615,481
peach002T(3).JPG,816,612,peach,413,214,569,366
orange006T(1).JPG,816,612,orange,160,257,357,429
sachima003T(10).JPG,816,612,sachima,465,220,655,394
fired_dough_twist001T(9).JPG,816,612,fired_dough_twist,499,207,602,461
sachima002T(10).JPG,816,612,sachima,350,244,527,431
lemon004S(2).JPG,816,612,lemon,490,156,618,282
apple017S(24).JPG,816,612,apple,428,213,671,412
orange011T(5).JPG,816,612,orange,416,214,650,443
litchi005T(5).JPG,816,612,litchi,476,275,622,429
mango003S(5).JPG,816,612,mango,437,272,708,429
bread006T(4).JPG,816,612,bread,404,55,769,431
apple015S(2).JPG,816,612,apple,393,225,604,409
peach005T(7).JPG,816,612,peach,434,191,663,398
apple016S(24).JPG,816,612,apple,434,137,645,348
grape002T(9).JPG,816,612,grape,351,210,640,501
lemon003S(6).JPG,816,612,lemon,478,190,635,326
sachima002S(14).JPG,816,612,sachima,496,264,713,376
sachima003T(4).JPG,816,612,sachima,362,262,550,426
sachima005S(3).JPG,816,612,sachima,416,286,638,392
mix004S(2).JPG,816,612,qiwi,309,278,473,405
mix004S(2).JPG,816,612,apple,515,209,747,408
mooncake006T(7).JPG,816,612,mooncake,440,254,669,483
mix014S(2).JPG,816,612,pear,275,234,499,462
mix014S(2).JPG,816,612,mango,603,335,793,453
mango007S(10).JPG,816,612,mango,426,286,592,370
tomato001S(5).JPG,816,612,tomato,418,286,623,423
bun006S(7).JPG,816,612,bun,443,295,727,480
orange008S(18).JPG,816,612,orange,438,187,634,354
orange007S(2).JPG,816,612,orange,419,213,640,388
apple013T(5).JPG,816,612,apple,362,217,576,428
orange011T(13).JPG,816,612,orange,481,248,741,483
mango005T(2).JPG,816,612,mango,461,302,573,485
mango006S(10).JPG,816,612,mango,466,338,662,432
doughnut006T(6).JPG,816,612,doughnut,375,203,671,473
litchi003S(2).JPG,816,612,litchi,482,320,601,437
orange010T(13).JPG,816,612,orange,446,209,691,440
egg007T(8).JPG,816,612,egg,494,308,665,425
mooncake005T(1).JPG,816,612,mooncake,427,264,567,398
banana013S(9).JPG,816,612,banana,278,273,667,357
mix007S(4).JPG,816,612,mango,299,257,459,378
mix007S(4).JPG,816,612,banana,464,308,654,383
tomato004T(22).JPG,816,612,tomato,459,279,668,497
mango006T(4).JPG,816,612,mango,455,226,611,478
bun005S(1).JPG,816,612,bun,458,159,704,348
orange004S(4).JPG,816,612,orange,159,186,483,492
apple010T(3).JPG,816,612,apple,269,157,430,342
tomato002S(3).JPG,816,612,tomato,406,207,559,344
mango010S(3).JPG,816,612,mango,459,263,589,369
tomato004T(4).JPG,816,612,tomato,71,239,141,309
grape002S(15).JPG,816,612,grape,398,234,687,404
doughnut009S(11).JPG,816,612,doughnut,449,248,711,341
bread005T(2).JPG,816,612,bread,316,106,609,418
apple016S(4).JPG,816,612,apple,401,138,628,339
doughnut008S(11).JPG,816,612,doughnut,475,257,754,361
egg002s(9).JPG,816,612,egg,437,230,565,351
orange012T(3).JPG,504,378,orange,165,86,273,192
apple006S(4).JPG,816,612,apple,391,142,642,354
mooncake002T(11).JPG,816,612,mooncake,471,246,616,389
pear002T(8).JPG,816,612,pear,397,232,600,426
mooncake003T(11).JPG,816,612,mooncake,465,248,614,398
mix011T(3).JPG,816,612,orange,393,30,618,254
mix011T(3).JPG,816,612,tomato,436,303,631,489
mooncake003S(6).JPG,816,612,mooncake,521,315,646,378
grape002T(11).JPG,816,612,grape,327,191,600,477
bun004T(2).JPG,816,612,bun,358,247,616,414
peach001T(5).JPG,816,612,peach,417,210,591,383
banana009S(3).JPG,816,612,banana,29,241,528,351
plum002S(8).JPG,816,612,plum,478,269,646,416
mango007S(7).JPG,816,612,mango,411,283,575,368
doughnut004S(3).JPG,816,612,doughnut,404,294,644,383
qiwi005T(8).JPG,816,612,qiwi,241,335,458,507
litchi001T(7).JPG,816,612,litchi,465,207,608,356
mooncake002S(15).JPG,816,612,mooncake,483,357,607,414
mooncake004S(2).JPG,816,612,mooncake,511,290,637,347
qiwi008T(6).JPG,504,378,qiwi,143,79,237,164
mooncake002T(5).JPG,816,612,mooncake,421,257,558,395
fired_dough_twist004S(8).JPG,816,612,fired_dough_twist,430,225,682,325
lemon001T(3).JPG,816,612,lemon,381,253,565,408
tomato004S(26).JPG,816,612,tomato,118,231,186,291
sachima001S(1).JPG,816,612,sachima,487,322,729,440
orange008T(9).JPG,816,612,orange,390,214,620,467
doughnut002T(4).JPG,816,612,doughnut,269,243,563,530
bread004S(1).JPG,816,612,bread,310,292,785,423
apple017T(7).JPG,816,612,apple,415,211,643,436
bun002S(5).JPG,816,612,bun,441,239,695,369
mix010T(2).JPG,816,612,lemon,427,49,610,209
mix010T(2).JPG,816,612,tomato,398,321,612,534
mooncake002S(7).JPG,816,612,mooncake,526,320,652,386
qiwi008S(4).JPG,504,378,qiwi,122,157,221,253
lemon001S(1).JPG,816,612,lemon,449,253,597,376
mango009S(12).JPG,816,612,mango,526,335,705,455
sachima001T(3).JPG,816,612,sachima,401,232,579,423
pear003T(9).JPG,816,612,pear,370,188,598,425
orange013T(2).JPG,504,378,orange,253,161,379,282
doughnut002S(6).JPG,816,612,doughnut,2,251,362,436
mango001S(2).JPG,816,612,mango,397,333,594,495
orange003T(2).JPG,816,612,orange,411,194,679,490
apple017S(5).JPG,816,612,apple,448,224,685,428
plum001T(15).JPG,816,612,plum,482,201,747,472
tomato003S(2).JPG,816,612,tomato,525,321,792,514
orange008S(22).JPG,816,612,orange,462,225,658,386
peach001S(7).JPG,816,612,peach,470,288,632,440
banana009T(1).JPG,816,612,banana,275,56,516,549
tomato003T(25).JPG,816,612,tomato,393,226,601,428
bread002S(4).JPG,816,612,bread,66,301,554,436
apple011T(2).JPG,816,612,apple,161,247,379,467
mango007T(5).JPG,816,612,mango,426,289,546,457
doughnut004T(1).JPG,816,612,doughnut,370,210,636,455
orange015S(5).JPG,504,378,orange,41,105,206,252
litchi001S(5).JPG,816,612,litchi,488,300,604,410
apple001T(2).JPG,816,612,apple,386,193,632,426
peach004S(17).JPG,816,612,peach,461,208,599,344
banana012S(8).JPG,816,612,banana,328,296,643,378
mango010T(1).JPG,816,612,mango,434,233,646,376
tomato004S(6).JPG,816,612,tomato,456,187,658,323
plum001S(11).JPG,816,612,plum,492,170,694,339
tomato003S(21).JPG,816,612,tomato,450,257,625,381
orange002S(1).JPG,816,612,orange,171,181,483,454
apple016T(6).JPG,816,612,apple,363,183,629,451
bun003S(4).JPG,816,612,bun,402,220,662,407
orange012S(1).JPG,504,378,orange,320,131,498,301
plum003S(18).JPG,816,612,plum,447,230,604,377
orange009T(8).JPG,816,612,orange,418,199,631,427
peach004T(13).JPG,816,612,peach,501,286,670,452
mix001S(1).JPG,816,612,orange,88,223,310,423
mix001S(1).JPG,816,612,apple,328,220,566,443
plum002S(18).JPG,816,612,plum,454,261,615,402
fired_dough_twist005S(9).JPG,816,612,fired_dough_twist,425,283,698,379
mix011S(1).JPG,816,612,orange,323,154,519,344
mix011S(1).JPG,816,612,tomato,561,201,753,343
mooncake003T(4).JPG,816,612,mooncake,496,289,650,440
mooncake005S(3).JPG,816,612,mooncake,493,345,620,407
apple015T(13).JPG,816,612,apple,385,193,661,481
mango006S(6).JPG,816,612,mango,467,281,681,378
doughnut005S(2).JPG,816,612,doughnut,426,331,681,416
bun005T(3).JPG,816,612,bun,423,277,627,461
banana008S(2).JPG,816,612,banana,307,352,736,460
plum003S(9).JPG,816,612,plum,422,211,588,358
apple010S(1).JPG,816,612,apple,429,170,671,400
tomato002T(1).JPG,816,612,tomato,482,233,685,429
sachima005T(1).JPG,816,612,sachima,372,203,550,407
lemon002T(17).JPG,816,612,lemon,442,261,625,459
mooncake006S(5).JPG,816,612,mooncake,493,277,669,345
lemon003T(17).JPG,816,612,lemon,513,208,682,394
sachima005T(17).JPG,816,612,sachima,451,275,641,487
tomato001T(7).JPG,816,612,tomato,392,262,630,495
bun006T(5).JPG,816,612,bun,352,243,595,457
peach003T(2).JPG,816,612,peach,438,272,629,441
apple013S(7).JPG,816,612,apple,464,183,661,385
doughnut006S(4).JPG,816,612,doughnut,417,312,650,399
orange011S(7).JPG,816,612,orange,461,130,665,327
litchi005S(7).JPG,816,612,litchi,512,317,632,426
mango003T(7).JPG,816,612,mango,404,192,589,441
pear001S(11).JPG,816,612,pear,443,119,633,308
peach005S(5).JPG,816,612,peach,483,237,654,390
pear002S(18).JPG,816,612,pear,455,272,694,498
doughnut006T(17).JPG,816,612,doughnut,349,148,661,434
lemon003T(4).JPG,816,612,lemon,470,332,658,498
sachima003S(6).JPG,816,612,sachima,436,272,633,374
litchi002S(3).JPG,816,612,litchi,491,323,609,421
apple002T(4).JPG,816,612,apple,336,64,578,316
mango004T(3).JPG,816,612,mango,461,291,608,498
doughnut007T(7).JPG,816,612,doughnut,382,215,647,453
peach002S(1).JPG,816,612,peach,431,234,599,405
pear001T(15).JPG,816,612,pear,422,188,663,437
orange006S(3).JPG,816,612,orange,419,181,620,361
bread001S(2).JPG,816,612,bread,120,393,554,512
apple012T(4).JPG,816,612,apple,270,230,489,440
plum004T(21).JPG,816,612,plum,462,260,635,430
doughnut006S(13).JPG,816,612,doughnut,416,288,675,370
doughnut007S(13).JPG,816,612,doughnut,458,269,710,368
sachima004S(2).JPG,816,612,sachima,456,339,666,449
pear006S(8).JPG,504,378,pear,285,76,412,193
tomato004T(18).JPG,816,612,tomato,445,228,679,456
sachima002T(5).JPG,816,612,sachima,404,210,592,425
lemon002S(7).JPG,816,612,lemon,487,246,635,365
lemon002S(13).JPG,816,612,lemon,469,277,617,400
tomato003T(33).JPG,816,612,tomato,439,255,674,470
lemon003S(13).JPG,816,612,lemon,477,187,625,328
mix013T(4).JPG,816,612,pear,372,74,562,265
mix013T(4).JPG,816,612,lemon,363,352,500,483
mooncake001S(1).JPG,816,612,mooncake,498,360,623,419
sachima005S(13).JPG,816,612,sachima,416,293,646,399
apple014S(3).JPG,816,612,apple,173,239,398,445
bread007T(5).JPG,816,612,bread,214,72,555,442
bun001T(1).JPG,816,612,bun,395,268,667,493
peach004T(6).JPG,816,612,peach,480,274,650,450
sachima004S(13).JPG,816,612,sachima,462,281,656,378
mango002S(4).JPG,816,612,mango,425,324,667,468
litchi004T(4).JPG,816,612,litchi,473,265,623,422
orange010T(4).JPG,816,612,orange,431,186,690,444
apple004S(3).JPG,816,612,apple,377,135,799,533
sachima002T(4).JPG,816,612,sachima,396,281,626,460
lemon002S(6).JPG,816,612,lemon,499,282,634,405
lemon002S(12).JPG,816,612,lemon,478,251,608,376
tomato003T(32).JPG,816,612,tomato,417,229,652,469
lemon003S(12).JPG,816,612,lemon,485,190,654,331
sachima005S(12).JPG,816,612,sachima,476,268,695,377
apple014S(2).JPG,816,612,apple,15,124,281,356
bread007T(4).JPG,816,612,bread,73,91,457,475
peach004T(7).JPG,816,612,peach,488,344,670,529
sachima004S(12).JPG,816,612,sachima,435,257,611,344
doughnut001S(1).JPG,816,612,doughnut,11,281,362,444
mango002S(5).JPG,816,612,mango,448,259,691,392
apple004S(2).JPG,816,612,apple,323,187,690,544
litchi004T(5).JPG,816,612,litchi,432,278,578,412
orange010T(5).JPG,816,612,orange,443,192,695,441
apple002T(5).JPG,816,612,apple,364,101,589,317
litchi002S(2).JPG,816,612,litchi,501,294,618,398
egg006T(8).JPG,816,612,egg,549,266,666,413
mango004T(2).JPG,816,612,mango,508,243,666,465
doughnut007T(6).JPG,816,612,doughnut,411,193,633,416
bread001S(3).JPG,816,612,bread,81,379,506,486
apple012T(5).JPG,816,612,apple,240,252,439,450
plum004T(20).JPG,816,612,plum,478,281,683,462
orange006S(2).JPG,816,612,orange,369,178,556,366
pear001T(14).JPG,816,612,pear,357,225,563,430
doughnut006S(12).JPG,816,612,doughnut,395,286,661,375
lemon004T(1).JPG,816,612,lemon,450,283,594,447
pear006S(9).JPG,504,378,pear,271,106,409,219
doughnut007S(12).JPG,816,612,doughnut,390,285,666,381
sachima004S(3).JPG,816,612,sachima,424,325,639,423
tomato004T(19).JPG,816,612,tomato,454,211,682,438
apple005T(1).JPG,816,612,apple,344,94,591,336
orange011S(6).JPG,816,612,orange,481,116,697,312
litchi005S(6).JPG,816,612,litchi,509,276,627,383
mango003T(6).JPG,816,612,mango,398,179,593,445
plum004S(24).JPG,816,612,plum,469,256,622,392
apple015T(1).JPG,816,612,apple,342,247,631,508
pear001S(10).JPG,816,612,pear,507,166,701,356
peach005S(4).JPG,816,612,peach,469,252,638,397
pear002S(19).JPG,816,612,pear,423,221,664,441
doughnut006T(16).JPG,816,612,doughnut,399,254,627,505
lemon003T(5).JPG,816,612,lemon,483,275,644,451
sachima003S(7).JPG,816,612,sachima,448,258,681,368
mix004T(1).JPG,816,612,apple,300,144,521,361
mix004T(1).JPG,816,612,qiwi,301,395,504,561
lemon002T(16).JPG,816,612,lemon,379,221,570,390
mooncake006S(4).JPG,816,612,mooncake,439,276,616,349
mix014T(1).JPG,816,612,pear,354,103,519,266
mix014T(1).JPG,816,612,mango,365,373,538,485
lemon003T(16).JPG,816,612,lemon,513,292,694,453
sachima005T(16).JPG,816,612,sachima,413,219,636,416
tomato001T(6).JPG,816,612,tomato,380,206,646,470
peach003T(3).JPG,816,612,peach,430,260,619,445
bun006T(4).JPG,816,612,bun,417,172,630,411
apple013S(6).JPG,816,612,apple,475,195,692,408
orange007T(1).JPG,816,612,orange,450,310,651,535
mango005S(1).JPG,816,612,mango,465,370,646,460
doughnut006S(5).JPG,816,612,doughnut,454,307,720,393
apple003S(6).JPG,816,612,apple,61,149,386,433
litchi003T(1).JPG,816,612,litchi,492,274,633,424
apple015T(12).JPG,816,612,apple,324,219,575,466
mooncake005S(2).JPG,816,612,mooncake,484,331,609,397
mango006S(7).JPG,816,612,mango,486,271,699,368
qiwi004T(8).JPG,816,612,qiwi,363,281,519,485
doughnut005S(3).JPG,816,612,doughnut,413,292,667,374
bun005T(2).JPG,816,612,bun,404,171,581,368
plum003S(8).JPG,816,612,plum,395,197,554,334
banana008S(3).JPG,816,612,banana,384,194,738,297
tomato004S(7).JPG,816,612,tomato,455,165,665,308
plum001S(10).JPG,816,612,plum,419,167,608,334
apple016T(7).JPG,816,612,apple,371,186,623,428
bread005S(1).JPG,816,612,bread,289,320,790,400
tomato003S(20).JPG,816,612,tomato,440,276,604,400
plum003S(19).JPG,816,612,plum,447,211,605,348
orange009T(9).JPG,816,612,orange,367,201,598,411
peach004T(12).JPG,816,612,peach,483,308,645,462
fired_dough_twist005S(8).JPG,816,612,fired_dough_twist,437,294,730,394
plum002S(19).JPG,816,612,plum,483,259,632,394
mooncake003T(5).JPG,816,612,mooncake,451,246,586,383
plum001T(14).JPG,816,612,plum,428,213,660,432
tomato003S(3).JPG,816,612,tomato,505,280,779,481
peach001S(6).JPG,816,612,peach,462,225,621,374
orange008S(23).JPG,816,612,orange,421,212,593,372
bun004S(1).JPG,816,612,bun,466,198,692,384
bread002S(5).JPG,816,612,bread,98,291,552,429
apple011T(3).JPG,816,612,apple,177,213,405,432
orange005S(4).JPG,816,612,orange,451,257,678,469
tomato003T(24).JPG,816,612,tomato,393,273,590,478
mango007T(4).JPG,816,612,mango,460,264,590,447
orange015S(4).JPG,504,378,orange,48,105,199,254
litchi001S(4).JPG,816,612,litchi,501,325,605,430
mix006S(4).JPG,816,612,mango,302,327,462,450
mix006S(4).JPG,816,612,banana,514,359,724,453
peach004S(16).JPG,816,612,peach,436,220,574,346
mooncake004T(1).JPG,816,612,mooncake,408,281,560,431
mix010T(3).JPG,816,612,tomato,378,57,608,281
mix010T(3).JPG,816,612,lemon,387,402,587,580
mooncake002S(6).JPG,816,612,mooncake,507,318,632,381
qiwi008S(5).JPG,504,378,qiwi,118,153,229,248
mango009S(13).JPG,816,612,mango,481,340,735,460
pear003T(8).JPG,816,612,pear,362,201,597,426
sachima001T(2).JPG,816,612,sachima,393,199,592,385
apple007S(4).JPG,816,612,apple,447,68,728,337
orange013T(3).JPG,504,378,orange,119,84,249,218
doughnut002S(7).JPG,816,612,doughnut,25,314,438,499
mango001S(3).JPG,816,612,mango,362,282,606,434
apple017S(4).JPG,816,612,apple,405,233,645,434
bread004T(2).JPG,816,612,bread,398,83,739,383
orange003T(3).JPG,816,612,orange,406,192,707,460
mix010S(1).JPG,816,612,tomato,337,214,509,348
mix010S(1).JPG,816,612,lemon,612,220,757,352
qiwi008T(7).JPG,504,378,qiwi,208,107,296,204
mooncake002T(4).JPG,816,612,mooncake,453,253,595,392
fired_dough_twist004S(9).JPG,816,612,fired_dough_twist,410,271,684,375
lemon001T(2).JPG,816,612,lemon,427,239,588,422
tomato004S(27).JPG,816,612,tomato,469,133,655,274
orange008T(8).JPG,816,612,orange,409,267,681,513
orange013S(1).JPG,504,378,orange,303,96,427,215
doughnut002T(5).JPG,816,612,doughnut,232,265,437,472
mango001T(1).JPG,816,612,mango,366,328,626,512
apple017T(6).JPG,816,612,apple,364,185,583,395
orange003S(1).JPG,816,612,orange,62,97,432,402
bun002S(4).JPG,816,612,bun,482,284,707,424
doughnut009T(14).JPG,816,612,doughnut,395,179,611,390
grape002T(10).JPG,816,612,grape,306,128,574,391
tomato003T(1).JPG,816,612,tomato,409,229,644,450
peach001T(4).JPG,816,612,peach,444,260,624,428
bun004T(3).JPG,816,612,bun,439,138,644,414
apple011S(1).JPG,816,612,apple,410,173,620,361
plum002S(9).JPG,816,612,plum,477,241,642,387
banana009S(2).JPG,816,612,banana,13,277,585,366
